,TL,DemersPelag,DepthRangeShallow,DepthRangeDeep,Length,BodyShapeI,References TL,References shallow depth,references body shape
Talismania bifurcata,3.4,bathydemersal,300,2000,27.7,elongated,Trophic Level (Ref. 69278): 3.4 ±0.5 se; Based on size and trophs of closest relatives,,
Tarletonbeania crenularis,3.1,bathypelagic,0,710,12.7,fusiform / normal,Trophic Level (Ref. 69278): 3.1 ±0.32 se; Based on food items.,,
Tetragonurus cuvieri,3.8,bathypelagic,1,800,70,elongated,Trophic Level (Ref. 69278): 3.8 ±0.35 se; Based on food items.,,
Thaleichthys pacificus,3.3,pelagic-neritic,0,300,34,elongated,Trophic Level (Ref. 69278): 3.3 ±0.37 se; Based on food items.,,
Trachipterus altivelis,3.9,pelagic-oceanic,0,900,183,eel-like,Trophic Level (Ref. 69278): 3.9 ±0.48 se; Based on food items.,,
Trachurus symmetricus,3.57,pelagic-oceanic,0,400,81,fusiform / normal,,,
Xeneretmus latifrons,3.2,bathydemersal,18,400,19,elongated,Trophic Level (Ref. 69278): 3.2 ±0.40 se; Based on food items.,,
Xystreurys liolepis,3.5,demersal,5,79,63.5,short and / or deep,Trophic Level (Ref. 69278): 3.5 ±0.50 se; Based on food items.,,
Zalembius rosaceus,3.3,demersal,8,229,20,short and / or deep,Trophic Level (Ref. 69278): 3.3 ±0.5 se; Based on size and trophs of closest relatives,,
Zaniolepis frenata,3.4,demersal,4,450,25,elongated,Trophic Level (Ref. 69278): 3.4 ±0.40 se; Based on food items.,,
Zaniolepis latipinnis,3.13,demersal,37,201,30,elongated,,,
