"","COD_ESP","nombre_comun","simbolo","cientifico","SpecCode","Genus","Author","FamCode","Subfamily","GenCode","SubGenCode","BodyShapeI","DemersPelag","Amphibious","AmphibiousRef","AnaCat","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","LongevityWild","LongevityWildRef","LongevityCaptive","LongevityCapRef","Vulnerability","Length","LTypeMaxM","LengthFemale","LTypeMaxF","MaxLengthRef","CommonLength","LTypeComM","CommonLengthF","LTypeComF","CommonLengthRef","Weight","WeightFemale","MaxWeightRef","ImportanceRef","Importance","LandingStatistics","Landings","MainCatchingMethod","II","MSeines","MGillnets","MCastnets","MTraps","MSpears","MTrawls","MDredges","MLiftnets","MHooksLines","MOther","UsedforAquaculture","LifeCycle","AquacultureRef","Comments","Profile","PD50","TL"
"11",63,"Lenguado de ojo grande","hm","Hippoglossina macrops","13966","Hippoglossina","Steindachner, 1876","514",NA,"8207",NA,"short and / or deep","demersal",NA,NA,NA,"35","600","82251","251","300","82251",NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,"35","TL",NA,NA,"9330",NA,NA,NA,"9330","minor commercial",NA,NA,"trawls",NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"This species inhabits soft bottoms (Ref. 9330); from the littoral zone (35 m, shallowest depth reported in Ref. 9330) up to 600 m (Ya<f1>ez and Barbieri, 1974.in Ref. 82251:833).  Common depth range was taken from a study done in northern Chile.  Stomach contents include mainly the squat lobsters (<i>Pleuroncodes monodon</i> and <i>Cervimunida johni</i>) and the deep-sea shrimp (<i>Heterocarpus reedi</i>) (Ref. 82251).  Exploited on a local level with trawl nets and is utilized fresh or as fishmeal.",NA,"0.5078","3.73"
"12",1,"Merluza común","mg","Merluccius gayi gayi","324","Merluccius","(Guichenot, 1848)","184","Merlucciinae","1339",NA,"fusiform / normal","bathydemersal",NA,NA,"oceanodromous","50","500","1371",NA,NA,NA,NA,NA,NA,NA,"61.02","87","TL",NA,NA,"1371","50","TL",NA,NA,"1371",NA,NA,NA,"4931","highly commercial","from 100,000 to 500,000","Chile","seines","purse seines (PS)","0","0","0","0","0","-1","0","0","0","0","never/rarely",NA,NA,"Occurs from the shallow continental shelf to the upper continental slope (Ref. 1371).  Sometimes found off the bottom or in midwater (Ref. 1371).  Migrates vertically to midwater at night to feed on fishes, squids and euphausiids (Ref. 27363).  Moves to southern coastal areas in summer and migrates to northern deeper waters (200-500 m depth) in winter and spring (Ref. 27363).  Spawning occurs at the end of the winter and during the southern spring (Ref. 58452).  Marketed fresh and frozen (Ref. 1371) and eaten steamed, fried, boiled and microwaved (Ref. 9988).  Also utilized as fishmeal (Ref. 1371).",NA,"0.5","4.26"
"13",4,"Merluza de cola","mm","Macruronus magellanicus","329","Macruronus","L<f6>nnberg, 1907","184","Merlucciinae","8364","1","elongated","benthopelagic",NA,NA,"oceanodromous","30","500","1371",NA,NA,NA,NA,NA,NA,NA,"70.5","115","TL",NA,NA,"7063","80","TL",NA,NA,"1371","5000",NA,"1371","4931","highly commercial","from 100,000 to 500,000","Chile (87) and Poland (27)","trawls","unspecified bottom trawls (TB)","0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Schooling species which are concentrated on the outer part of the continental shelf (Ref. 1371).  Feeds mainly on fish (herring, anchovies, lantern fishes), also on mysids, cephalopods, euphausiids and amphipods (Ref. 1371).  Migrates southward in spring and summer and northward in winter (Ref. 1371).  Utilized fresh, frozen and for fishmeal (Ref. 1371).",NA,"0.5625",NA
"14",2,"Merluza del sur","mau","Merluccius australis","322","Merluccius","(Hutton, 1872)","184","Merlucciinae","1339",NA,"elongated","benthopelagic",NA,NA,"oceanodromous","28","1000","58489",NA,NA,NA,"30","9072",NA,NA,"52.1","155","SL",NA,NA,"58452","80","TL",NA,NA,"1371",NA,NA,NA,"4931","highly commercial","from 10,000 to 50,000","Argentina, Chile, New Zealand","trawls","unspecified trawls (TX)","0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Found at depths between 415 and 1000 m in New Zealand waters, and 62 to 800 m in South American waters.  The Patagonian population feeds on southern blue whiting, whiptail, nototheniids and squids.  The New Zealand population feeds mainly on fishes (especially gadoids), squids, euphausiids and benthic organisms.  Adults probably migrate southward during the southern summer for feeding and return to the north in winter for spawning (Ref. 1371).  Spawning takes place from August to September on the western coast of South Island, from September to November in the northern part of the Campbell Plateau, and between November and January on Chatham Rise (Ref. 58452).  Utilized as food fish and fishmeal.",NA,"0.5",NA
"15",31,"Pampanito","sst","Stromateus stellatus","26365","Stromateus","Cuvier, 1829","425",NA,"5813",NA,"short and / or deep","benthopelagic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17.86","25.14","SL",NA,NA,"27363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","-1","0","0","0","0","never/rarely",NA,NA,NA,NA,"0.625",NA
"16",11,"Pejegallo","cc","Callorhinchus callorynchus","8399","Callorhinchus","(Linnaeus, 1758)","24",NA,"9779",NA,"elongated","demersal",NA,NA,NA,"10","116","34015",NA,NA,NA,NA,NA,NA,NA,"54.4","89.2","SL",NA,NA,NA,"70","TL",NA,NA,"6077",NA,NA,NA,"6077","commercial",NA,NA,"trawls",NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Occurs in sandy and muddy substrates.  Apparently associated with <i>Stromateus brasiliensis</i> and <i>Discopyge tschudii</i> (Ref. 34015).  Oviparous (Ref. 50449).  Max length (Itamar Alves Martins, pers. comm., 2002).",NA,"0.75","3.35"
"17",79,"Raya eléctrica","ttr","Torpedo tremens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",79,"Raya eléctrica","ttr","Torpedo tremens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",10,"Raya moteada","psc","Psammobatis scobina","54085","Psammobatis","(Philippi, 1857)","685",NA,"1426",NA,"other","demersal",NA,NA,NA,"40","450","27092",NA,NA,NA,NA,NA,NA,NA,"43.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Oviparous.  Distinct pairing with embrace.  Young may tend to follow large objects, such as their mother (Ref. 205).  Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205).  Egg capsules are 5.2 cm long and 3.1 cm wide (Ref. 41249).",NA,"0.5039",NA
"20",81,"Raya volantín","dch","Zearaja chilensis","51636","Zearaja","(Guichenot, 1848)","19",NA,"8601",NA,"other","demersal",NA,NA,NA,"28","500","104541",NA,NA,NA,NA,NA,NA,NA,"68.57","210","TL",NA,NA,"104541","85","TL",NA,NA,"104541",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","never/rarely",NA,NA,"Oviparous (Ref. 50449).  Eggs have horn-like projections on the shell (Ref. 205). Inhabits sandy and muddy bottoms at depths (Ref. 104541).",NA,"0.625","4.46"
