"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.TL","CWM.DemersPelag","CWM.DepthRangeShallow","CWM.DepthRangeDeep","CWM.Length","CWM.BodyShapeI"
"1",13,13,7.79858666394618e-14,0.990552328072776,0.527663284488889,0.867795778783332,0.0505893771481577,0.0118561205870538,4.19890193829539,"bathydemersal",58.4701059774587,489.012375334504,84.6101596537241,"fusiform / normal"
"2",13,13,7.79858666394618e-14,0.990552328072776,0.241236404432417,0.862521720948417,0.0932122057798129,0.0234182635342456,4.18023374436592,"bathydemersal",53.8329976925665,489.675918947328,87.1646193083728,"fusiform / normal"
"3",13,13,7.79858666394618e-14,0.990552328072776,0.282401729087708,0.845283679378434,0.162254547728545,0.0362218766201964,4.16203801544603,"bathydemersal",47.2056509692287,497.365036030256,93.0593767091786,"fusiform / normal"
"4",14,14,7.19105126823343e-13,0.990552328072776,0.367127532740122,0.811870442812398,0.164659272624208,0.0391268399598826,4.1521631760976,"bathydemersal",49.1428307560571,489.72180731803,91.2978916855836,"fusiform / normal"
"5",14,14,7.19105126823343e-13,0.990552328072776,0.363871199846492,0.804873255936256,0.184748338028574,0.043766324818455,4.12794759981107,"bathydemersal",50.4716997395055,489.475841715481,92.1603761156133,"fusiform / normal"
"6",15,15,4.27917783605732e-12,0.990552328072776,0.347335313688982,0.841789730581104,0.133524655133947,0.0317011656251236,4.16696323010151,"bathydemersal",49.8040988085425,491.651448131772,89.9632891996482,"fusiform / normal"
"7",13,13,6.96841803774322e-14,0.990552328072776,0.367757731220413,0.840915558590787,0.105885910412791,0.0242919552297088,4.19523722160099,"bathydemersal",50.2235901665329,496.522129028522,89.5728619243232,"fusiform / normal"
"8",14,14,8.01824023301125e-13,0.990552328072776,0.439961212172893,0.874469008768957,0.176438823031371,0.0390918005439436,4.14971481683077,"bathydemersal",45.5980642243183,497.246979073718,94.1948965209192,"fusiform / normal"
"9",14,14,8.01824023301125e-13,0.990552328072776,0.403194011188932,0.871111770488296,0.189673341391872,0.041492785233499,4.14022523241255,"bathydemersal",44.3642887900671,498.458037499033,95.6584064969847,"fusiform / normal"
"10",14,14,8.01824023301125e-13,0.990552328072776,0.49807963609653,0.875358733849674,0.159483204943404,0.0348351619030673,4.17059760274494,"bathydemersal",45.5894046300608,498.442626892721,93.5107219890857,"fusiform / normal"
"11",15,15,4.27917783605732e-12,0.990552328072776,0.354134695536,0.815098018635408,0.186438692805864,0.0410302018461271,4.14201921637061,"bathydemersal",43.9389463874508,497.196377764881,95.3153728726102,"fusiform / normal"
"12",15,15,4.27917783605732e-12,0.990552328072776,0.482610905147874,0.813907046253432,0.194974007797281,0.0435779710260669,4.13465459481417,"bathydemersal",42.9805123191224,494.915851835304,95.5713576863244,"fusiform / normal"
"13",13,13,3.78472498830828e-14,0.990552328072776,0.0975656492900362,0.892118044895374,0.154236635682699,0.0334831155034579,4.175519764692,"bathydemersal",45.4831935939988,498.964865877345,93.3643765386507,"fusiform / normal"
