"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDiv","FDis","RaoQ","CWM.TL","CWM.DemersPelag","CWM.DepthRangeShallow","CWM.DepthRangeDeep","CWM.Length","CWM.BodyShapeI"
"1",24,24,7.50025705376713e-14,0.90940291729843,0.283365346596822,0.874898793723285,0.104124805150407,0.0305725675787729,4.24459136183647,"bathydemersal",51.4347285474344,523.844915609001,89.0775957601976,"fusiform / normal"
"2",22,22,3.35702838271394e-15,0.90940291729843,0.590618892166986,0.863050808124573,0.0772208425731507,0.0233487262412148,4.21638886275279,"bathydemersal",49.44916032142,505.053820846586,86.918851944833,"fusiform / normal"
"3",22,22,2.59306278807011e-15,0.90940291729843,0.231463425988633,0.866303156602327,0.170043621259188,0.0442940565162075,4.23945637942457,"bathydemersal",47.5563993123168,508.000237154542,91.251492819802,"fusiform / normal"
"4",25,25,3.01988469036868e-13,0.90940291729843,0.527319284717475,0.85712720721804,0.161605239638366,0.0533154056637851,4.2158768477886,"bathydemersal",62.2874853575185,561.176181790429,83.303983068006,"fusiform / normal"
"5",27,27,2.0676687546581e-12,0.90940291729843,0.486814473402253,0.865557651516897,0.0847315320620891,0.0299591250774871,4.24575727854086,"bathydemersal",56.9263909884447,525.091400759686,84.3063489024396,"fusiform / normal"
"6",27,27,2.0676687546581e-12,0.90940291729843,0.367220997315958,0.863531484511968,0.0547038864817278,0.022168746492218,4.24391426732207,"bathydemersal",55.3735927581171,516.045332726084,83.2509086771167,"fusiform / normal"
"7",25,25,1.36976235622001e-13,0.90940291729843,0.568940195307088,0.869474262807326,0.075359616468792,0.0234567215594594,4.24387558575424,"bathydemersal",58.1274391546388,537.600206235647,84.0483295535223,"fusiform / normal"
"8",20,20,3.02616549437061e-17,0.90940291729843,0.343746203113733,0.825212678670855,0.0413593618582471,0.00988593231824653,4.24682960050898,"bathydemersal",49.9749869035458,500.72071270801,85.6221562958367,"fusiform / normal"
"9",24,24,2.19995305678112e-14,0.90940291729843,0.522037883665473,0.888122621074487,0.0926046423325532,0.0188517818032086,4.24589535301461,"bathydemersal",51.5007197000334,511.987006971725,78.7796535927838,"fusiform / normal"
"10",23,23,1.04676917690743e-14,0.90940291729843,0.47728315168893,0.874617320686099,0.0726388720967988,0.0240586321577231,4.25633543606102,"bathydemersal",51.3843212871999,517.747429681106,85.6815142012044,"fusiform / normal"
"11",23,23,8.1180429182096e-15,0.90940291729843,0.40618013328021,0.863779302248847,0.0669599637392585,0.0175579364642532,4.24699958817617,"bathydemersal",51.1093628351141,502.378250846095,83.5531230778056,"fusiform / normal"
"12",22,22,2.69002852915238e-15,0.90940291729843,0.526129326527938,0.877103690402702,0.120063431713359,0.0366167859722486,4.21070600184893,"bathydemersal",47.1780218694518,510.493638155778,85.4810719895552,"fusiform / normal"
"13",23,23,9.77147106889947e-15,0.90940291729843,0.536072101781618,0.866545227556005,0.118113682510175,0.0293095053460281,4.23938884318567,"bathydemersal",53.0087718211851,542.595956809218,77.6717598818285,"fusiform / normal"
