REGION,PUERTO DESEMBARQUE,ESPECIE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
15,ARICA,ALBACORA O PEZ ESPADA, -   , -   , -   , -   , -   , -   , -   ,59,15,1,1,11,25,13, -   
15,ARICA,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8
15,ARICA,ALMEJA, -   , -   , -   , -   , -   , -   , -   , -   , -   ,5,2,7,16,32,46
15,ARICA,ANCHOVETA, -   , -   , -   , -   , -   , -   , -   ,75235,97863,88440,61998,98907,120070,94767,110497
15,ARICA,AYANQUE, -   , -   , -   , -   , -   , -   , -   ,5, -   , -   ,1,4,1, -   , -   
15,ARICA,AZULEJO, -   , -   , -   , -   , -   , -   , -   ,9,4,3,24,38,36,40,31
15,ARICA,BACALADILLO O MOTE, -   , -   , -   , -   , -   , -   , -   , -   ,773,325,133,2755,666, -   ,2
15,ARICA,BACALAO DE PROFUNDIDAD, -   , -   , -   , -   , -   , -   , -   ,19,4,13,13,19,25,26,13
15,ARICA,BONITO, -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,3,1,8,2, -   
15,ARICA,CABALLA, -   , -   , -   , -   , -   , -   , -   ,4,2,1,15,9,9,2,32
15,ARICA,CABINZA, -   , -   , -   , -   , -   , -   , -   , -   ,1,3,11,1,8,6,8
15,ARICA,CABRILLA COMUN, -   , -   , -   , -   , -   , -   , -   ,13,2,5,17,8,12,9,4
15,ARICA,CARACOL LOCATE, -   , -   , -   , -   , -   , -   , -   ,59,132,12,4,8,9,13,27
15,ARICA,CHASCON O HUIRO NEGRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,67,107
15,ARICA,CHOCHA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
15,ARICA,CHOLGA, -   , -   , -   , -   , -   , -   , -   ,37,20,20,24,34,38,52,49
15,ARICA,CHORITO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,9
15,ARICA,CHORO, -   , -   , -   , -   , -   , -   , -   ,8,16,7,1,4,10,11,17
15,ARICA,COJINOBA DEL NORTE, -   , -   , -   , -   , -   , -   , -   ,6,1,5,14,17,30,30, -   
15,ARICA,COJINOBA DEL NORTE / PIAFRI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4
15,ARICA,CONGRIO NEGRO, -   , -   , -   , -   , -   , -   , -   , -   ,4,5,3,4,3, -   , -   
15,ARICA,CORVINA, -   , -   , -   , -   , -   , -   , -   ,6,2,12,12,21,25,29,15
15,ARICA,CRUSTACEO NO CLASIFICADO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,7, -   
15,ARICA,CULENGUE, -   , -   , -   , -   , -   , -   , -   ,3, -   ,2, -   , -   , -   , -   , -   
15,ARICA,DORADO DE ALTURA, -   , -   , -   , -   , -   , -   , -   ,62,56,43,170,97, -   ,175, -   
15,ARICA,ERIZO, -   , -   , -   , -   , -   , -   , -   ,22,15,103,13,23,54,26,34
15,ARICA,HUIRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17,19
15,ARICA,JAIBA MARMOLA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
15,ARICA,JAIBA PELUDA O PACHONA, -   , -   , -   , -   , -   , -   , -   ,11,15,12,4,2,8,8,7
15,ARICA,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,9, -   ,5, -   
15,ARICA,JUREL, -   , -   , -   , -   , -   , -   , -   ,9, -   ,1,3,8,8,7,158
15,ARICA,LANGOSTINO ENANO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,28,4,8,13,23
15,ARICA,LAPA, -   , -   , -   , -   , -   , -   , -   ,132,20,15,6,14, -   , -   , -   
15,ARICA,LAPA NEGRA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,11,20,18
15,ARICA,LISA, -   , -   , -   , -   , -   , -   , -   ,1, -   ,2,1,4,4,7,1
15,ARICA,LOCO, -   , -   , -   , -   , -   , -   , -   , -   ,28,6, -   ,2, -   , -   , -   
15,ARICA,MACHUELO O TRITRE, -   , -   , -   , -   , -   , -   , -   ,281,245,294,50,385,431,1099,1273
15,ARICA,MARLIN, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   
15,ARICA,PAMPANITO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,17, -   , -   ,29, -   ,4
15,ARICA,PEJEGALLO, -   , -   , -   , -   , -   , -   , -   ,4, -   , -   , -   , -   , -   , -   , -   
15,ARICA,PEJERREY DE MAR, -   , -   , -   , -   , -   , -   , -   ,7,6,73,14,15,35,32,19
15,ARICA,PESCADO NO CLASIFICADO, -   , -   , -   , -   , -   , -   , -   ,4,3,1, -   ,1,3,1,3
15,ARICA,PIURE, -   , -   , -   , -   , -   , -   , -   ,60,68,79,44,53,36,62,77
15,ARICA,PULPO, -   , -   , -   , -   , -   , -   , -   ,18,10, -   ,12,6,13,23, -   
15,ARICA,PULPO DEL NORTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,12
15,ARICA,ROCOCO, -   , -   , -   , -   , -   , -   , -   ,2, -   ,1, -   ,1,2,3,2
15,ARICA,RONCACHO, -   , -   , -   , -   , -   , -   , -   ,3,4,42,4,8,71,28,110
15,ARICA,SARDINA ESPAÑOLA, -   , -   , -   , -   , -   , -   , -   ,5,4,5,3,6,2,3, -   
15,ARICA,SARGO, -   , -   , -   , -   , -   , -   , -   ,6, -   ,2,1,6,11,13,9
15,ARICA,TIBURON O MARRAJO, -   , -   , -   , -   , -   , -   , -   ,19,8,8,25,35,33,25, -   
15,ARICA,TIBURON O MARRAJO DENTUDO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,17
15,ARICA,TOLLO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
15,ARICA,"VIDRIOLA, PALOMETA, DORADO O TOREMO", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,148, -   ,244
15,ARICA,AGUJILLA, -   , -   , -   , -   ,66, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ALMEJA,14,4, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ANCHOVETA,33934,41307,77170,75054,110591,89977,72082, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ANGUILA,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,AYANQUE,14,14,30,25,52,53,3, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,AZULEJO,1,2,1,1, -   ,2,2, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,BACALADILLO O MOTE, -   , -   ,2510,462,439,599,980, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,BACALAO DE PROFUNDIDAD,189,90,87,8,15,28,23, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,BONITO,1, -   , -   , -   ,5,10, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CABALLA,20, -   ,78,103,230,12,4, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CABINZA, -   ,1, -   ,2, -   ,7,3, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CABRILLA, -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CABRILLA COMUN,12,12,2,2,2,19,11, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CARACOL LOCATE,137,52,2,68,4,17,8, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CHOLGA,103,63,42,46,78,25,5, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CHORITO, -   , -   ,1, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CHORO, -   ,2,2,6,20,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,COJINOBA DEL NORTE,3,7,5,4,30,42,18, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CONGRIO NEGRO,4,2,2,1,9,5,1, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CORVINA,4,8, -   , -   ,21,43,12, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,CULENGUE, -   , -   ,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,DORADO,1,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,DORADO DE ALTURA, -   , -   , -   , -   ,47,65,53, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ERIZO, -   ,5,148,37,97,77,58, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,HUIRO PALO, -   , -   , -   , -   , -   ,10, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,JAIBA, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,JAIBA PELUDA O PACHONA, -   ,2, -   ,4,6,5,1, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,JIBIA O CALAMAR ROJO, -   , -   ,1, -   , -   ,4,24, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,JUREL,173,18,20,57,103,160,91, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,LAPA,17,59,31,49,145,62,5, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,LENGUADO , -   , -   , -   , -   ,6,6, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,LENGUADO DE OJOS CHICOS,7,8, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,LISA,2, -   ,6,17,37,19, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,MACHUELO O TRITRE, -   , -   ,1393,391,1151,1053,1002, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PALOMETA,12,26,71,68, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PAMPANITO, -   , -   , -   ,1, -   ,5, -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PEJEPERRO,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PEJERREY DE MAR,11,11,5,45,27,35,64, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PESCADO NO CLASIFICADO, -   , -   , -   ,5, -   , -   ,3, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PIURE,118,80,50,76,114,39,9, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,PULPO,8,17,1,111,80,103,59, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,RAYA VOLANTIN,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,ROCOCO,11,7,5,9,20,18,3, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,RONCACHO,12,9,3,12,13,20,42, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,SARDINA COMUN, -   , -   ,80, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,SARDINA ESPAÑOLA,4013,1355,1047,880,293,926,148, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,SARGO,7,1,2,11,22,33,12, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,TIBURON O MARRAJO,11,15,17,15,22,16,13, -   , -   , -   , -   , -   , -   , -   , -   
15,ARICA,TOLLO,3,5, -   ,1,8,6, -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,AGUJILLA, -   , -   ,5,22, -   , -   , -   , -   , -   , -   , -   ,3, -   , -   , -   
1,IQUIQUE,ALBACORA O PEZ ESPADA, -   , -   , -   , -   ,7,9,7,180,284,379,461,171,196,235, -   
1,IQUIQUE,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,371
1,IQUIQUE,ALMEJA,13,119,5,72,112,58,50,9, -   ,23,17,5,12,52,21
1,IQUIQUE,ANCHOVETA,6309,8489,23736,13779,26716,11612,7575,30144,14255,8389,25794,14011,15612,20524,10906
1,IQUIQUE,ATUN ALETA AMARILLA, -   , -   , -   , -   , -   , -   , -   , -   ,1,3, -   , -   , -   ,1, -   
1,IQUIQUE,AZULEJO, -   , -   , -   , -   ,15,17,22,13,6,9,7,19,38,61,77
1,IQUIQUE,BACALADILLO O MOTE,17,3,5,2655,9672,9740,19231,4983,10660,8245,1023,4765,96,37, -   
1,IQUIQUE,BACALAO DE PROFUNDIDAD,96,108,67,50,61,83,64,43,48,85,43,82,68,58,48
1,IQUIQUE,BONITO,1, -   , -   , -   ,1, -   , -   , -   ,1, -   , -   , -   ,9, -   , -   
1,IQUIQUE,BRECA O BILAGAY, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
1,IQUIQUE,CABALLA,123,201,1091,420,347,16,26,4, -   , -   , -   , -   ,24, -   , -   
1,IQUIQUE,CABINZA, -   , -   , -   ,5, -   ,1, -   , -   , -   ,1, -   ,1,4, -   , -   
1,IQUIQUE,CABRILLA COMUN,5,47, -   ,1,31,7,15,13,7,8,8,7,12,1, -   
1,IQUIQUE,CACHURRETA, -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,CARACOL LOCATE,526,165,216,633,285,398,225,314,155,323,40,172,160,232,403
1,IQUIQUE,CENTOLLA DEL NORTE,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,CHASCON O HUIRO NEGRO,1119,1382,1748,3087,68,19312,17411,15370,10153,30982,21143,9974,15918,19998,16032
1,IQUIQUE,CHOLGA,29,105,45,87,59,68,483,15,51,85,74,29,30,226,102
1,IQUIQUE,CHORO, -   , -   ,9,34,66,27,2,26,21,16,185,180,279,266,153
1,IQUIQUE,COJINOBA DEL NORTE,10,35,12,9,6,20,25,6,2,2,11,13,35,16, -   
1,IQUIQUE,COJINOBA DEL NORTE / PIAFRI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
1,IQUIQUE,CONGRIO NEGRO,7,30,3, -   ,4,2,7,3,1,2,3,10,11,6,5
1,IQUIQUE,CORVINA,3,8,1,1,1,2,5,3,1, -   ,1,1,4,2,1
1,IQUIQUE,CULENGUE,10,56,10,221,6,24,46,6, -   , -   ,3,2,4,6,6
1,IQUIQUE,DORADO,3,8, -   ,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,DORADO DE ALTURA, -   , -   , -   , -   ,82,114,136,116,98,95,146,180, -   ,249, -   
1,IQUIQUE,DORADO DE ALTURA / MAHI MAHI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,237
1,IQUIQUE,ERIZO,117,1757,540,755,1641,837,1572,1042,751,1536,792,204,163,320,352
1,IQUIQUE,HUIRO, -   , -   , -   , -   , -   , -   ,93,74,29,789,632,460,508,734,261
1,IQUIQUE,HUIRO PALO,368,989,1107,938, -   ,435,1536,1113,323,4844,2685,632,772,952,525
1,IQUIQUE,JAIBA, -   , -   ,2, -   ,34,42,35,1, -   ,16, -   , -   , -   , -   , -   
1,IQUIQUE,JAIBA PANCHOTE O CANGREJO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   
1,IQUIQUE,JAIBA PELUDA O PACHONA,18,19, -   , -   , -   , -   , -   ,1,19,44,32,7,29,97,25
1,IQUIQUE,JIBIA O CALAMAR ROJO, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,JUREL,170,32,29,1093,857, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,LANGOSTINO COLORADO, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,LANGOSTINO ENANO, -   , -   , -   , -   ,11, -   , -   , -   , -   , -   ,4, -   , -   , -   ,1
1,IQUIQUE,LAPA,22,147,204,296,560,117,326,186,366,231,348,255, -   , -   , -   
1,IQUIQUE,LAPA NEGRA, -   , -   , -   ,20,6, -   , -   ,4,13,22,119,112,234,42,16
1,IQUIQUE,LENGUADO DE OJOS CHICOS, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,LOCO, -   ,13,27,144,113,101,43,37,179,245,104,80,114,114,69
1,IQUIQUE,MACHUELO O TRITRE, -   , -   , -   ,17, -   ,4, -   ,22, -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,MARLIN, -   , -   , -   , -   , -   , -   , -   , -   ,1,7,9,3,1,3,22
1,IQUIQUE,MARLIN NEGRO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   
1,IQUIQUE,OSTION DEL NORTE, -   , -   ,11, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,PALOMETA,2,62,55,86, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,PAMPANITO, -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   ,6, -   , -   , -   
1,IQUIQUE,PEJEGALLO, -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,PEJEPERRO,4,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,PEJERREY DE MAR, -   ,15, -   ,1,3, -   , -   , -   , -   , -   , -   ,1,3,1, -   
1,IQUIQUE,PEJEZORRO, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,1,1, -   , -   , -   
1,IQUIQUE,PEPINO DE MAR,11, -   , -   , -   , -   , -   , -   , -   ,5, -   , -   , -   , -   , -   , -   
1,IQUIQUE,PESCADO NO CLASIFICADO, -   , -   , -   , -   , -   , -   ,8,5,1,8,10,2,2,1,9
1,IQUIQUE,PIURE,2,10,9,1,4,59,43,6,16,58,46,9,14,80,64
1,IQUIQUE,PULPO,320,387,102,217,282,659,56, -   ,6,1,168,501,306,125, -   
1,IQUIQUE,PULPO DEL NORTE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,234
1,IQUIQUE,RAYA VOLANTIN,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,REINETA, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   
1,IQUIQUE,RONCACHO, -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,SARDINA ESPAÑOLA,3847,2644,2770,2221,738,491,371,328, -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,SARGO, -   ,1, -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1,IQUIQUE,TIBURON O MARRAJO,80,285,100,183,109,112,160,58,46,55,36,68,74,56, -   
1,IQUIQUE,TIBURON O MARRAJO DENTUDO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,42
1,IQUIQUE,TOLLO,1, -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   ,1, -   ,2
1,IQUIQUE,"VIDRIOLA, PALOMETA, DORADO O TOREMO", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,203, -   , -   
1,LOS VILOS,HUIRO, -   , -   ,24, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,AGUJILLA, -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,ALBACORA O PEZ ESPADA, -   , -   , -   , -   , -   , -   , -   ,952,315,257,438,275,376,389, -   
2,ANTOFAGASTA,ALBACORA O PEZ ESPADA / IVI HEHEU, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,423
2,ANTOFAGASTA,ALMEJA,22,39,1,1,8,4,2,3,3,30,14,19,39,43,27
2,ANTOFAGASTA,ANCHOVETA,6,14,2,2,814,295,14,21,23,21,11,4,10,7,4
2,ANTOFAGASTA,APAÑADO,7, -   , -   ,1,1, -   , -   , -   , -   ,2, -   ,1,4,1,5
2,ANTOFAGASTA,ATUN ALETA AMARILLA, -   , -   , -   , -   , -   , -   ,3, -   ,2, -   ,1, -   , -   , -   , -   
2,ANTOFAGASTA,ATUN OJOS GRANDES, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   , -   
2,ANTOFAGASTA,AZULEJO,2, -   ,2,3,4,4,8,4,4,5,7,6,5,3,14
2,ANTOFAGASTA,BACALAO DE PROFUNDIDAD,35,30,15,9,17,13,3,7,4,9,5,10,4,4, -   
2,ANTOFAGASTA,BONITO,3,1, -   ,6, -   , -   ,2, -   ,5,31,2,1,11,1,13
2,ANTOFAGASTA,BRECA O BILAGAY, -   , -   , -   , -   , -   , -   ,1,1, -   , -   , -   , -   , -   ,4,5
2,ANTOFAGASTA,CABALLA,175,33,231,104,103,34,60,12,162,102,32,56,95,112,37
2,ANTOFAGASTA,CABINZA, -   , -   , -   ,3,3,5,2, -   , -   , -   ,1, -   ,1, -   , -   
2,ANTOFAGASTA,CABRILLA, -   , -   , -   , -   , -   , -   ,2,1,8, -   , -   ,2, -   ,1, -   
2,ANTOFAGASTA,CABRILLA COMUN,9,4, -   ,1,11,6,7,3,5,4,3,11,5,17,15
2,ANTOFAGASTA,CABRILLA ESPAÑOLA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2
2,ANTOFAGASTA,CAMARON NAILON,4,1, -   ,2,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,CARACOL LOCATE,84,40,91, -   , -   , -   , -   , -   , -   ,5, -   ,25,134,41,217
2,ANTOFAGASTA,CHASCON O HUIRO NEGRO,5420,5759,4325,5046,9906,11174,14587,17297,23763,21659,15538,28147,33187,22763,38261
2,ANTOFAGASTA,CHOLGA,21,11,10,29,3,3,4, -   , -   ,20,31,125,117,94,45
2,ANTOFAGASTA,CHORITO, -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,9,67, -   , -   , -   
2,ANTOFAGASTA,CHORO,1, -   , -   , -   , -   , -   ,1, -   , -   , -   ,7,12,8,13,4
2,ANTOFAGASTA,COJINOBA DEL NORTE,13,15,3,1,5,13,14,20,31,12,13,22,22,88, -   
2,ANTOFAGASTA,COJINOBA DEL NORTE / PIAFRI, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,54
2,ANTOFAGASTA,CONGRIO COLORADO,9,10, -   , -   , -   ,1,5,2,2,7,7,20,23,31,34
2,ANTOFAGASTA,CONGRIO DORADO, -   , -   , -   ,31, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,CONGRIO NEGRO,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,1,2,10
2,ANTOFAGASTA,CORVINA,1, -   , -   ,1,2, -   , -   ,1,4,2, -   ,1,2,8,8
2,ANTOFAGASTA,CULENGUE, -   ,3,67,4, -   , -   , -   , -   ,18, -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,DORADO,12,8,25,26, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,DORADO DE ALTURA, -   , -   , -   , -   ,28,9,12,14,13,13,7,11, -   ,16, -   
2,ANTOFAGASTA,ERIZO,1905,863,524,1139,1470,374,395,219,54,10,53,143,195,161,121
2,ANTOFAGASTA,HUIRO, -   ,79,72,385,123,69,359,1252,779,706,67,60,24,196,107
2,ANTOFAGASTA,HUIRO PALO,247,130,244,397,864,11,334,229,172,1322,1247,458,158,453,2178
2,ANTOFAGASTA,JAIBA MARMOLA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   
2,ANTOFAGASTA,JAIBA MORA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,29,4,2
2,ANTOFAGASTA,JAIBA PATUDA, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,JAIBA PELUDA O PACHONA,8,1, -   ,4,1, -   ,1, -   , -   ,3,8,24,31,39,30
2,ANTOFAGASTA,JAIBA REMADORA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,4
2,ANTOFAGASTA,JIBIA O CALAMAR ROJO, -   , -   ,3, -   ,1, -   , -   , -   , -   , -   ,27, -   ,10,4, -   
2,ANTOFAGASTA,JUREL,308, -   ,99,26,236,138,72,61,434,162,89,186,108,65,33
2,ANTOFAGASTA,LANGOSTINO COLORADO,11,9,4,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,LAPA,293,100,114,144,208,249,110,24,19,175,67,251, -   , -   , -   
2,ANTOFAGASTA,LAPA NEGRA, -   , -   ,2,1, -   , -   , -   , -   , -   , -   , -   , -   ,357,47,102
2,ANTOFAGASTA,LAPA ROSADA, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,13, -   , -   
2,ANTOFAGASTA,LENGUADO , -   , -   , -   , -   ,1, -   ,1, -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,LENGUADO OJOS CHICOS, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   
2,ANTOFAGASTA,LIQUEN GOMOSO, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1
2,ANTOFAGASTA,LISA, -   , -   ,2,1,10, -   ,1, -   , -   , -   , -   , -   ,1, -   , -   
2,ANTOFAGASTA,LOCO, -   ,6,3,2, -   , -   , -   , -   ,5,1,2, -   , -   , -   , -   
2,ANTOFAGASTA,LUCHE, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,1
2,ANTOFAGASTA,LUGA CUCHARA O CORTA, -   , -   , -   , -   , -   ,15,30, -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,LUGA NEGRA O CRESPA, -   , -   , -   , -   , -   ,493,208, -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,MACHA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,109, -   , -   , -   , -   
2,ANTOFAGASTA,MARLIN, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1,5, -   ,1,4,14
2,ANTOFAGASTA,MERLUZA COMUN, -   , -   , -   , -   , -   , -   ,1, -   , -   , -   , -   , -   ,3, -   , -   
2,ANTOFAGASTA,NAVAJUELA, -   , -   ,13,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,PAMPANITO, -   , -   , -   , -   , -   ,2, -   , -   , -   , -   , -   , -   , -   , -   , -   
2,ANTOFAGASTA,PEJEPERRO,8,4, -   , -   ,7,1, -   , -   , -   ,2,1,4,5,2,3
2,ANTOFAGASTA,PEJERREY DE MAR, -   , -   , -   , -   , -   ,12, -   , -   , -   , -   , -   ,1, -   ,1,1
